jointure,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,1er lot,Surface Carrez du 1er lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Arrondissement,id,commune,prefixe,section,numero,contenance,created,updated,coords,Prix_m2,Outlier,coords_X,coords_Y
75101000AR105,1,07/09/2020,Vente,344160.0,15.0,RUE,5033,DU JOUR,75001.0,PARIS 01,75,101,000,AR,105,101,,1,2.0,Appartement,27.0,1.0,75101,75101000AR0105,75101,000,AR,105,273.0,2006-10-10,2016-07-21,"[651901.2372614212, 6862841.363652347]",12746.666666666666,False,651901.2372614212,6862841.363652347
75101000AR30,1,15/05/2020,Vente,427000.0,6.0,RUE,4619,HEROLD,75001.0,PARIS 01,75,101,000,AR,30,12,,1,2.0,Appartement,40.0,1.0,75101,75101000AR0030,75101,000,AR,30,63.0,2006-10-10,2016-07-21,"[651675.0185741441, 6862940.559082684]",10675.0,False,651675.0185741441,6862940.559082684
75101000AR42,1,06/01/2020,Vente,544000.0,35.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,42,14,,1,2.0,Appartement,52.0,2.0,75101,75101000AR0042,75101,000,AR,42,227.0,2006-10-10,2016-07-21,"[651657.0555293786, 6862899.686943749]",10461.538461538461,False,651657.0555293786,6862899.686943749
75101000AR63,1,31/08/2020,Vente,804900.0,17.0,RUE,1178,DU BOULOI,75001.0,PARIS 01,75,101,000,AR,63,91,"53,98",1,2.0,Appartement,54.0,2.0,75101,75101000AR0063,75101,000,AR,63,1083.0,2006-10-10,2016-07-21,"[651630.1368083211, 6862858.740923871]",14905.555555555555,False,651630.1368083211,6862858.740923871
75101000AR68,1,13/05/2020,Vente,1535000.0,15.0,RUE,5825,DU LOUVRE,75001.0,PARIS 01,75,101,000,AR,68,211,"86,60",1,2.0,Appartement,86.0,3.0,75101,75101000AR0068,75101,000,AR,68,3350.0,2006-10-10,2016-07-21,"[651708.6129692347, 6862813.786882636]",17848.837209302324,False,651708.6129692347,6862813.786882636
75101000AR68,1,10/06/2020,Vente,2660000.0,15.0,RUE,5825,DU LOUVRE,75001.0,PARIS 01,75,101,000,AR,68,17,"156,03",1,2.0,Appartement,136.0,3.0,75101,75101000AR0068,75101,000,AR,68,3350.0,2006-10-10,2016-07-21,"[651708.6129692347, 6862813.786882636]",19558.823529411766,False,651708.6129692347,6862813.786882636
75101000AR7,1,21/12/2020,Vente,250000.0,44.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,7,131,,1,2.0,Appartement,25.0,1.0,75101,75101000AR0007,75101,000,AR,7,369.0,2006-10-10,2016-07-21,"[651644.911282749, 6862946.544994832]",10000.0,False,651644.911282749,6862946.544994832
75101000AR7,1,21/12/2020,Vente,452000.0,44.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,7,132,"45,20",1,2.0,Appartement,44.0,2.0,75101,75101000AR0007,75101,000,AR,7,369.0,2006-10-10,2016-07-21,"[651644.911282749, 6862946.544994832]",10272.727272727272,False,651644.911282749,6862946.544994832
75101000AR7,1,21/12/2020,Vente,300000.0,44.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,7,125,,1,2.0,Appartement,30.0,1.0,75101,75101000AR0007,75101,000,AR,7,369.0,2006-10-10,2016-07-21,"[651644.911282749, 6862946.544994832]",10000.0,False,651644.911282749,6862946.544994832
75101000AR7,1,21/12/2020,Vente,805000.0,44.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,7,126,"65,30",1,2.0,Appartement,63.0,3.0,75101,75101000AR0007,75101,000,AR,7,369.0,2006-10-10,2016-07-21,"[651644.911282749, 6862946.544994832]",12777.777777777777,False,651644.911282749,6862946.544994832
75101000AR79,1,16/10/2020,Vente,310000.0,17.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AR,79,215,"20,80",1,2.0,Appartement,20.0,2.0,75101,75101000AR0079,75101,000,AR,79,229.0,2006-10-10,2016-07-21,"[651944.2541723805, 6862911.269341074]",15500.0,False,651944.2541723805,6862911.269341074
75101000AR79,1,14/10/2020,Vente,315000.0,17.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AR,79,221,"20,97",1,2.0,Appartement,20.0,2.0,75101,75101000AR0079,75101,000,AR,79,229.0,2006-10-10,2016-07-21,"[651944.2541723805, 6862911.269341074]",15750.0,False,651944.2541723805,6862911.269341074
75101000AR94,1,31/01/2020,Vente,418000.0,10.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,94,111,"37,51",1,2.0,Appartement,37.0,2.0,75101,75101000AR0094,75101,000,AR,94,921.0,2006-10-10,2016-07-21,"[651851.9438798957, 6862836.743058029]",11297.297297297297,False,651851.9438798957,6862836.743058029
75101000AR94,1,18/05/2020,Vente,385550.0,10.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,94,7,"28,60",1,2.0,Appartement,28.0,2.0,75101,75101000AR0094,75101,000,AR,94,921.0,2006-10-10,2016-07-21,"[651851.9438798957, 6862836.743058029]",13769.642857142857,False,651851.9438798957,6862836.743058029
75101000AR94,1,18/06/2020,Vente,768490.0,10.0,RUE,2318,COQUILLIERE,75001.0,PARIS 01,75,101,000,AR,94,110,"71,16",1,2.0,Appartement,73.0,3.0,75101,75101000AR0094,75101,000,AR,94,921.0,2006-10-10,2016-07-21,"[651851.9438798957, 6862836.743058029]",10527.260273972603,False,651851.9438798957,6862836.743058029
75101000AS13,1,30/09/2020,Vente,200000.0,17.0,RUE,4901,JEAN JACQUES ROUSSEAU,75001.0,PARIS 01,75,101,000,AS,13,10,"21,06",1,2.0,Appartement,24.0,1.0,75101,75101000AS0013,75101,000,AS,13,87.0,2006-10-10,2016-07-21,"[651617.9266600967, 6862709.468974418]",8333.333333333334,False,651617.9266600967,6862709.468974418
75101000AS17,1,01/09/2020,Vente,166000.0,5.0,RUE,4901,JEAN JACQUES ROUSSEAU,75001.0,PARIS 01,75,101,000,AS,17,3,"10,83",1,2.0,Appartement,18.0,1.0,75101,75101000AS0017,75101,000,AS,17,509.0,2006-10-10,2016-07-21,"[651569.8917444737, 6862684.779127417]",9222.222222222223,False,651569.8917444737,6862684.779127417
75101000AS24,1,23/04/2020,Vente,660000.0,6.0,RUE,2453,CROIX DES PETITS CHAMPS,75001.0,PARIS 01,75,101,000,AS,24,16,"50,01",1,2.0,Appartement,45.0,2.0,75101,75101000AS0024,75101,000,AS,24,108.0,2006-10-10,2016-07-21,"[651546.1987121442, 6862701.59137959]",14666.666666666666,False,651546.1987121442,6862701.59137959
75101000AS24,1,28/07/2020,Vente,296755.0,6.0,RUE,2453,CROIX DES PETITS CHAMPS,75001.0,PARIS 01,75,101,000,AS,24,13,"19,20",1,2.0,Appartement,20.0,1.0,75101,75101000AS0024,75101,000,AS,24,108.0,2006-10-10,2016-07-21,"[651546.1987121442, 6862701.59137959]",14837.75,False,651546.1987121442,6862701.59137959
75101000AS33,1,28/02/2020,Vente,458100.0,156.0,RUE,8635,SAINT HONORE,75001.0,PARIS 01,75,101,000,AS,33,11,"26,70",1,2.0,Appartement,27.0,1.0,75101,75101000AS0033,75101,000,AS,33,82.0,2006-10-10,2016-07-21,"[651580.9555592872, 6862654.395530384]",16966.666666666668,False,651580.9555592872,6862654.395530384
75101000AS36,1,04/11/2020,Vente,545050.0,6.0,RUE,4901,JEAN JACQUES ROUSSEAU,75001.0,PARIS 01,75,101,000,AS,36,3,"46,02",1,2.0,Appartement,46.0,2.0,75101,75101000AS0036,75101,000,AS,36,106.0,2006-10-10,2016-07-21,"[651585.3295945242, 6862661.999363592]",11848.91304347826,False,651585.3295945242,6862661.999363592
